QPC;00:00:35;;;;10:52:45;10:53:20
Alerta;00:00:55;;;;10:53:20;10:54:15
QPC;00:30:14;;;;10:54:15;11:24:29
QPC;00:04:42;;;;11:24:29;11:29:11
REM;00:01:04;;;;11:29:11;11:30:15
QPC;00:00:18;;;;11:30:15;11:30:33
Alerta;00:01:07;;;;11:30:33;11:31:40
Quieto;00:02:03;;;;11:31:40;11:33:43
Alerta;00:01:22;;;;11:33:43;11:35:05
Alerta;00:00:40;;;;11:35:05;11:35:45
Alerta;00:01:15;;;;11:35:45;11:37:00
Quieto;00:04:00;;;;11:37:00;11:41:00
QPC;00:21:48;;;;11:41:00;12:02:48
REM;00:00:57;;;;12:02:48;12:03:45
Quieto;00:00:07;;;;12:03:45;12:03:52
Alerta;00:00:38;;;;12:03:52;12:04:30
Quieto;00:07:30;;;;12:04:30;12:12:00
QPC;00:28:09;;;;12:12:00;12:40:09
REM;00:00:53;;;;12:40:09;12:41:02
Alerta;00:00:48;;;;12:41:02;12:41:50
Quieto;00:02:40;;;;12:41:50;12:44:30
QMME;00:00:10;;;;12:44:30;12:44:40
Quieto;00:04:44;;;;12:44:40;12:49:24
QPC;00:24:52;;;;12:49:24;13:14:16
REM;00:01:09;;;;13:14:16;13:15:25
QPC;00:00:11;;;;13:15:25;13:15:36
Alerta;00:00:29;;;;13:15:36;13:16:05
Quieto;00:04:17;;;;13:16:05;13:20:22
QMME;00:00:10;;;;13:20:22;13:20:32
Quieto;00:02:35;;;;13:20:32;13:23:07
QMMD;00:00:13;;;;13:23:07;13:23:20
Quieto;00:25:00;;;;13:23:20;13:48:20
REM;00:00:58;;;;13:48:20;13:49:18
Alerta;00:01:32;;;;13:49:18;13:50:50
Ativo;00:05:10;;;;13:50:50;13:56:00
Quieto;00:19:13;;;;13:56:00;14:15:13
QPC;00:02:47;;;;14:15:13;14:18:00
QPC;00:12:33;;;;14:18:00;14:30:33
REM;00:00:59;;;;14:30:33;14:31:32
QPC;00:00:05;;;;14:31:32;14:31:37
Alerta;00:05:11;;;;14:31:37;14:36:48
Quieto;00:03:04;;;;14:36:48;14:39:52
QMME;00:00:11;;;;14:39:52;14:40:03
Quieto;00:06:57;;;;14:40:03;14:47:00
Ativo;00:04:30;;;;14:47:00;14:51:30
Alerta;00:14:20;;;;14:51:30;15:05:50
Quieto;00:00:45;;;;15:05:50;15:06:35
QMMD;00:00:09;;;;15:06:35;15:06:44
Quieto;00:00:52;;;;15:06:44;15:07:36
QMMD;00:00:20;;;;15:07:36;15:07:56
Quieto;00:01:54;;;;15:07:56;15:09:50
QPC;00:00:45;;;;15:09:50;15:10:35
REM;00:00:31;;;;15:10:35;15:11:06
QPC;00:00:14;;;;15:11:06;15:11:20
Alerta;00:01:20;;;;15:11:20;15:12:40
Quieto;00:00:56;;;;15:12:40;15:13:36
QMME;00:00:03;;;;15:13:36;15:13:39
Quieto;00:01:41;;;;15:13:39;15:15:20
Alerta;00:05:40;;;;15:15:20;15:21:00
Quieto;00:09:58;;;;15:21:00;15:30:58
Alerta;00:00:59;;;;15:30:58;15:31:57
Quieto;00:04:36;;;;15:31:57;15:36:33
QPC;00:10:52;;;;15:36:33;15:47:25
REM;00:00:40;;;;15:47:25;15:48:05
Alerta;00:01:55;;;;15:48:05;15:50:00
Quieto;00:00:33;;;;15:50:00;15:50:33
QMME;00:00:06;;;;15:50:33;15:50:39
Alerta;00:02:25;;;;15:50:39;15:53:04
Quieto;00:01:03;;;;15:53:04;15:54:07
QMME;00:00:09;;;;15:54:07;15:54:16
Quieto;00:00:39;;;;15:54:16;15:54:55
QMME;00:00:04;;;;15:54:55;15:54:59
QMME;00:00:17;;;;15:54:59;15:55:16
Quieto;00:00:20;;;;15:55:16;15:55:36
QMME;00:00:03;;;;15:55:36;15:55:39
QMME;00:00:15;;;;15:55:39;15:55:54
Quieto;00:01:02;;;;15:55:54;15:56:56
QMME;00:00:09;;;;15:56:56;15:57:05
Quieto;00:00:58;;;;15:57:05;15:58:03
QMME;00:00:04;;;;15:58:03;15:58:07
Quieto;00:05:26;;;;15:58:07;16:03:33
QMMD;00:00:07;;;;16:03:33;16:03:40
Ativo;00:03:20;;;;16:03:40;16:07:00
Alerta;00:25:00;;;;16:07:00;16:32:00
Quieto;00:01:05;;;;16:32:00;16:33:05
QMMD;00:00:03;;;;16:33:05;16:33:08
Quieto;00:00:16;;;;16:33:08;16:33:24
QMME;00:00:09;;;;16:33:24;16:33:33
Quieto;00:13:27;;;;16:33:33;16:47:00
QMME;00:00:11;;;;16:47:00;16:47:11
QPC;00:07:59;;;;16:47:11;16:55:10
QMMD;00:00:11;;;;16:55:10;16:55:21
QPC;00:08:16;;;;16:55:21;17:03:37
REM;00:00:24;;;;17:03:37;17:04:01
Alerta;00:04:55;;;;17:04:01;17:08:56
QMME;00:00:07;;;;17:08:56;17:09:03
Quieto;00:16:56;;;;17:09:03;17:25:59
QMME;00:00:10;;;;17:25:59;17:26:09
Quieto;00:09:33;;;;17:26:09;17:35:42
QMMD;00:00:04;;;;17:35:42;17:35:46
Quieto;00:03:18;;;;17:35:46;17:39:04
Ativo;00:00:53;;;;17:39:04;17:39:57
Alerta;00:10:03;;;;17:39:57;17:50:00
