QMMD;00:00:07;14:28:27;14:28:34
QPC;00:02:01;14:28:34;14:30:35
QMME;00:00:05;14:30:35;14:30:40
QPC;00:02:16;14:30:40;14:32:56
QMME;00:00:15;14:32:56;14:33:11
QPC;00:00:59;14:33:11;14:34:10
QPC;00:13:57;14:34:10;14:48:07
REM;00:00:23;14:48:07;14:48:30
Alerta;00:00:43;14:48:30;14:49:13
QPC;00:06:30;14:49:13;14:55:43
QMMD;00:00:02;14:55:43;14:55:45
QMMD;00:00:15;14:55:45;14:56:00
QPC;00:00:45;14:56:00;14:56:45
QMME;00:01:14;14:56:45;14:57:59
QPC;00:17:54;14:57:59;15:15:53
QMMD;00:00:10;15:15:53;15:16:03
QPC;00:05:41;15:16:03;15:21:44
REM;00:00:20;15:21:44;15:22:04
Alerta;00:00:30;15:22:04;15:22:34
QPC;00:12:14;15:22:34;15:34:48
QMMD;00:00:04;15:34:48;15:34:52
QPC;00:03:54;15:34:52;15:38:46
QMME;00:00:18;15:38:46;15:39:04
QPC;00:07:11;15:39:04;15:46:15
QMMD;00:00:07;15:46:15;15:46:22
QMMD;00:00:07;15:46:22;15:46:29
QPC;00:05:45;15:46:29;15:52:14
REM;00:00:23;15:52:14;15:52:37
Alerta;00:00:27;15:52:37;15:53:04
QPC;00:02:51;15:53:04;15:55:55
Alerta;00:00:48;15:55:55;15:56:43
QPC;00:21:14;15:56:43;16:17:57
Alerta;00:01:49;16:17:57;16:19:46
QPC;00:01:25;16:19:46;16:21:11
