QPC;00:19:33;;;;08:53:15;09:12:48;
REM;00:00:39;;;;09:12:48;09:13:27;
QPC;00:11:26;;;;09:13:27;09:24:53;
QPC;00:16:24;;;;09:24:53;09:41:17;
REM;00:00:45;;;;09:41:17;09:42:02;
Quieto;00:08:18;;;;09:42:02;09:50:20;
Alerta;00:00:55;;;;09:50:20;09:51:15;
Ativo;00:03:00;;;;09:51:15;09:54:15;
Alerta;00:03:23;;;;09:54:15;09:57:38;
QPC;00:04:16;;;;09:57:38;10:01:54;
QMME;00:00:11;;;;10:01:54;10:02:05;
Quieto;00:01:56;;;;10:02:05;10:04:01;
QMME;00:00:08;;;;10:04:01;10:04:09;
Quieto;00:03:48;;;;10:04:09;10:07:57;
QMMD;00:00:18;;;;10:07:57;10:08:15;
QPC;00:12:06;;;;10:08:15;10:20:21;
REM;00:00:46;;;;10:20:21;10:21:07;
Quieto;00:01:08;;;;10:21:07;10:22:15;
QPCN;00:11:23;;;;10:22:15;10:33:38;
QMMD;00:00:13;;;;10:33:38;10:33:51;
Quieto;00:06:30;;;;10:33:51;10:40:21;
QMME;00:00:08;;;;10:40:21;10:40:29;
Quieto;00:13:18;;;;10:40:29;10:53:47;
REM;00:00:57;;;;10:53:47;10:54:44;
QPCN;00:25:06;;;;10:54:44;11:19:50;
QPCN;00:07:39;;;;11:19:50;11:27:29;
REM;00:01:09;;;;11:27:29;11:28:38;
Quieto;00:07:48;;;;11:28:38;11:36:26;
QMME;00:00:06;;;;11:36:26;11:36:32;
Quieto;00:03:54;;;;11:36:32;11:40:26;
QMMD;00:00:11;;;;11:40:26;11:40:37;
Quieto;00:05:02;;;;11:40:37;11:45:39;
Alerta;00:02:18;;;;11:45:39;11:47:57;
Ativo;00:00:52;;;;11:47:57;11:48:49;
Alerta;00:00:09;;;;11:48:49;11:48:58;
Ativo;00:01:41;;;;11:48:58;11:50:39;
Alerta;00:02:20;;;;11:50:39;11:52:59;
Alerta;00:03:43;;;;11:52:59;11:56:42;
AMMD;00:00:05;;;;11:56:42;11:56:47;
Alerta;00:01:25;;;;11:56:47;11:58:12;
Ativo;00:02:53;;;;11:58:12;12:01:05;
Alerta;00:04:11;;;;12:01:05;12:05:16;
QPCN;00:03:57;;;;12:05:16;12:09:13;
Alerta;00:00:39;;;;12:09:13;12:09:52;
Quieto;00:03:37;;;;12:09:52;12:13:29;
QMME;00:00:07;;;;12:13:29;12:13:36;
Quieto;00:02:04;;;;12:13:36;12:15:40;
Alerta;00:00:55;;;;12:15:40;12:16:35;
QPCN;00:02:20;;;;12:16:35;12:18:55;
QMME;00:00:13;;;;12:18:55;12:19:08;
Quieto;00:04:01;;;;12:19:08;12:23:09;
Alerta;00:02:36;;;;12:23:09;12:25:45;
Alerta;00:00:45;;;;12:25:45;12:26:30;
Ativo;00:00:12;;;;12:26:30;12:26:42;
Quieto;00:00:36;;;;12:26:42;12:27:18;
Ativo;00:04:46;;;;12:27:18;12:32:04;
Alerta;00:09:14;;;;12:32:04;12:41:18;
Ativo;00:11:43;;;;12:41:18;12:53:01;
Alerta;00:02:32;;;;12:53:01;12:55:33;
Quieto;00:00:11;;;;12:55:33;12:55:44;
AMMD;00:00:05;;;;12:55:44;12:55:49;
Ativo;00:01:59;;;;12:55:49;12:57:48;
Alerta;00:02:48;;;;12:57:48;13:00:36;
QMMD;00:00:13;;;;13:00:36;13:00:49;
Alerta;00:08:15;;;;13:00:49;13:09:04;
Quieto;00:04:45;;;;13:09:04;13:13:49;
QPC;00:04:56;;;;13:13:49;13:18:45;
QMMD;00:00:10;;;;13:18:45;13:18:55;
Alerta;00:02:55;;;;13:18:55;13:21:50;
Ativo;00:07:11;;;;13:21:50;13:29:01;
Alerta;00:03:59;;;;13:29:01;13:33:00;
Ativo;00:03:40;;;;13:33:00;13:36:40;
